product_name,price_after_discnt,percent_discnt
Vitron V400 2.1Ch Bluetooth Speaker System (1 YR WRTY),"KSh 2,799",30%
"TCL 50"" C645&nbsp;QLED 4K Quantum Dot Google TV Smart TV - Black","KSh 55,789",21%
"Hisense 43"" A4K Series Smart, (2YRS WRTY)","KSh 31,520",30%
Amtec AM-02 2.1CH Multimedia Speaker BT/USB/SD/FM (1 YR WRTY),"KSh 5,450",27%
Vitron V838H 3.1 Inch Bluetooth Speaker System,"KSh 8,780",12%
"Sayona SGC50E31-GO Electric 3+1 Gas Free Standing Cooker, 50*55 White","KSh 20,424",21%
Ramtons RF/257- 2 Door Direct Cool Fridge - 213 Liters - Silver (1YR WRTY),"KSh 37,549",23%
VON VART-19DHS Double Door Fridge 136L - Silver (1YR WRTY),"KSh 27,499",37%
Roch RFR-120S-I Single Door Refrigerator - 90 Litres - Silver (1Y WRTY) (1YR WRTY),"KSh 15,999",30%
"Hisense WFQP7012EVMT 7Kg Front Load Washing Machine,Silver (2YRs WRTY)","KSh 44,999",20%
VON 1.7L CORDLESS KETTLE VSKL17BNK WHITE AND BLACK (1YR WRTY),"KSh 1,500",37%
Haier 10.5kg Semi Auto Washing Machine Twin Tub HWM105-M186,"KSh 33,995",11%
Ramtons RM/399-corded Electric Kettle 1.7 Ltrs- White (1YR WRTY),"KSh 1,320",29%
"Midea MMO-MM7P012MZE(BK) , 20L Manual Microwave Oven , 700W - Black","KSh 7,299",34%
"VON VRT-138DRHX Double Door FRIDGE 136L,INOX, (1YR WRTY)","KSh 30,000",32%
"Skyworth F90433NBY Front Load 9kg, Automatic Washer & Dryer - Tim Grey (1YR WRTY)","KSh 54,500",22%
Hisense WSQB753W - 7.5Kg Twin Tub Top Load Washing Machine - White (2YRs WRTY),"KSh 22,799",16%
HOMMY Maroon Portable Wardrobe 3 Column - Maroon Cover,"KSh 2,499",38%
Miniso Mini Family Sports Desktop Trash Can Shiba,KSh 359,
Nunix 5 Layer Shoe Rack Black (Smaller Design) SR5L,KSh 600,
Rashnik Steel Cloth Drying Foldable Stand with Infinity Hooks,"KSh 1,400",17%
Nunix Nunix 2 Layer Stainless Steel Dishrack DR2S,"KSh 1,200",
10 Pcs Premium Velvet Hangers Ultra Thin Non-Slip,"KSh 1,280",49%
Nunix 3 Tier Wooden Kitchen Rack- Black,"KSh 1,920",
Aworky Limited Shoe-rack 5 layer,"KSh 2,799",20%
Bathroom Corner Shelf -Black,KSh 775,48%
Miniso Foldable Clothespin Hanger (Grey),KSh 359,
LASA 4 TIER METAL TOWER 20 PAIR SHOE RACK STORAGE ORGANIZER UNIT,"KSh 1,650",31%
TC Shoe Rack (36 Pairs) Grey,"KSh 2,299",43%
RichRipple USB Rechargeable Beard Hair Trimmer Electric Hair Clippers Salon Hair Cutting Kit With Limit Comb,KSh 499,29%
GUIXIA Tws Wireless Bluetooth Headsets Earphones Inpods12,KSh 399,42%
Fashion 4 In 1 Ladies Handbags Women Shoulder Bags Set PU Leather -Pink,KSh 849,44%
Fashion Men's Colorful Beach Pants Stretch High Waisted Casual Summer Shorts,KSh 599,40%
"Fashion 15.6"" Laptop Bag Men Business Backpack With USB Charging Jack Rucksacks Grey",KSh 699,46%
Fashion Men's Casual Fashion Shorts Two-piece Set,KSh 699,42%
Fashion 2 Pcs Ladies Backpack Bag School Bags Black Casual Bag Women Purse Mini Bag,KSh 699,46%
7200MaH Rechargeable Fan USB Folding Telescopic 7.7 Inch,"KSh 1,600",48%
Deliya Hair blow dry Hair Dryer Hair Tools+ Nail Clipper Set 6 Gifts,"KSh 1,680",28%
LED 2.4G Rechargeable Wireless Mouse,KSh 390,47%
Wlisth Men's European Business Waterproof Watch,KSh 950,47%
Fashion Men Laptop Backpack Business Bag Set Rucksack Travel Bag With USB Jack-Grey,KSh 969,44%
Fashion Mens Long Sleeve Dress Shirts - White,KSh 599,50%
"Fashion 15.6"" Laptop Bag Men Backpack Business Backpacks With USB Charging Jack Rucksack",KSh 699,46%
RichRipple LED Display Bluetooth Headsets 9D Stereo Wireless Earphones Earpods,KSh 499,46%
Fashion 3-Pack V-Neck Heavy Duty 160 GSM T-shirts White/Grey/Black,KSh 789,34%
Fashion Mens Vintage Graffiti Short Patterned Sleeve Button-Down Hawaii Beach Shirt-Red,KSh 835,34%
Fashion Plain Stylish Slim Fit Black Jeans-Black,"KSh 1,169 - KSh 1,269",35%
Fashion Mens Long Sleeve Dress Shirts - White,KSh 599,50%
Fashion Grey 3-Pack Round Neck Heavy Duty T-shirts,"KSh 1,075",10%
Fashion Men Dress Shirt Long Sleeve Business Formal Regular Fit Office Shirt Sky blue,KSh 530 - KSh 630,47%
Fashion 6Pcs Soft Cotton Checked Men's Boxers – Multicolor,KSh 618,
Fashion Men Thin Stretch Jeans Ins Fashion Slim Feet Straight Leg Trend Long Pants,KSh 920,47%
Fashion Men's Sleeveless Vest - Black/White/Grey,KSh 695 - KSh 799,
"6pcs Mixed Assorted Colours, Llight Cotton Fabric Waist 28-32 Inches 28-32 Inches",KSh 599,33%
Men's Cartoon Printed Elasticated High Waist Casual Summer Shorts,KSh 339,38%
Fashion 3-Pack Round-Neck Heavy Duty 160 GSM T-shirts White/Grey/Black,KSh 789,34%
Fashion Ankle-Length Trousers Sportswear Boys Joggers Summer Men Pants Tie Feet Overalls,KSh 799,8%
Fashion 3 In 1 Men T-shirts Men Tops Tees Men Wear Clothes Polos,"KSh 1,099",44%
Fashion 4Pairs Finest Cotton Freesize Unisex Plain Invisible Socks,KSh 227,34%
Fashion 2 In 1 Women's Sport Shorts Yoga Short Pants Summer Short Pants,KSh 179,49%
Fashion High Waist Jeans Body Shape Sky Blue,"KSh 949 - KSh 1,085",18%
Defacto Woman Coool Oversize Fit Knitted Short Sleeve T-Shirt - Black,KSh 649,60%
Fashion Sling Dress Sleeveless Hanging Neck Tight-fitting Hip Skirt - Black,KSh 355,50%
Nylon Tummy Slimming Corset One-piece Full Body Shaper Bodysuit - Black,KSh 757,50%
Defacto Woman Special Collection Paperbag Denim Trousers - Black,"KSh 1,637",60%
Women's Tummy Shaper Jumpsuit Seamless Sexy Suspender Corset Panties Bodysuit,KSh 528,50%
Fashion Party Wear Rave Clothing Festival Outfits Multi Color Print Cover Up Dresses ODM,KSh 880,38%
Fashion 4PCs Most Beautiful Printed Seamless Panties(Hips 38-44inches),KSh 738,26%
Women's Yoga Pants High Waist Elastic Tight Fitness Trousers - Grey,KSh 590,50%
Fashion Europe And The United States Women's Fashion Long Sleeve Loose Dreeses,KSh 880,38%
Fashion 3PCs Women Pure Cotton Ladies Panties (Hips 34-40,KSh 599,25%
Fashion Ruffled Short-Sleeved Striped Patchwork Loose Maxi Dress With Pocket,KSh 808,50%
Fashion High Quality Elegant Clothes Printed Dress Halter For Summer,KSh 880,38%
Fashion Elastic Belt Corset Tummy Shaper(Waist 26-34inches),KSh 445,26%
